year,cars,pop18plus
2014,1022,1430
2015,1035,1427
2016,1042,1417
2017,1062,1450
2018,1119,1460
2019,1081,1442
2020,1048,1443
2010,800,1331
2011,837,1341
2012,849,1372
2013,841,1379
2014,846,1367
2015,855,1373
2016,879,1380
2017,895,1379
2018,907,1394
2019,918,1386
2020,930,1385
2010,1033,1545
2011,1018,1532
2012,1014,1545
2013,1023,1597
2014,1059,1559
2015,1060,1567
2016,1087,1573
2017,1093,1529
2018,1111,1528
2019,1112,1540
2020,1110,1546
2010,704,1220
2011,725,1231
2012,749,1209
2013,749,1231
2014,776,1248
2015,787,1243
2016,792,1242
2017,793,1261
2018,813,1261
2019,817,1257
2020,805,1256
2010,838,1325
2011,825,1321
2012,841,1300
2013,867,1294
2014,874,1328
2015,875,1339
2016,892,1315
2017,898,1337
2018,903,1343
2019,931,1333
2020,927,1341
2010,792,1159
2011,783,1193
2012,779,1206
2013,794,1224
2014,795,1223
2015,825,1206
2016,826,1198
2017,840,1220
2018,841,1189
2019,823,1162
2020,829,1165
2010,688,1292
2011,710,1315
2012,725,1342
2013,719,1344
2014,753,1373
2015,772,1405
2016,813,1428
2017,803,1428
2018,840,1437
2019,827,1423
2020,837,1424
2010,907,1355
2011,930,1359
2012,932,1367
2013,947,1380
2014,977,1400
2015,1000,1374
2016,1017,1396
2017,1019,1416
2018,1043,1396
2019,1034,1407
2020,1009,1409
2010,775,1213
2011,789,1209
2012,780,1200
2013,779,1211
2014,784,1206
2015,820,1194
2016,830,1216
2017,845,1212
2018,847,1214
2019,848,1208
2020,841,1212
2010,970,1446
2011,1015,1437
2012,1020,1455
2013,1008,1428
2014,998,1451
2015,1034,1431
2016,1071,1427
2017,1074,1484
2018,1092,1499
2019,1095,1505
2020,1076,1514
2010,875,1506
2011,911,1553
2012,895,1554
2013,919,1601
2014,955,1596
2015,966,1588
2016,974,1614
2017,977,1602
2018,976,1597
2019,998,1555
2020,979,1561
2010,804,1467
2011,830,1490
2012,832,1552
2013,851,1563
2014,894,1553
2015,917,1568
2016,945,1568
2017,941,1651
2018,948,1666
2019,958,1670
2020,934,1675
2010,1173,1536
2011,1184,1558
2012,1203,1588
2013,1239,1609
2014,1231,1631
2015,1215,1606
2016,1180,1625
2017,1190,1646
2018,1192,1619
2019,1209,1599
2020,1216,1608
2010,769,1391
2011,743,1448
2012,759,1462
2013,765,1420
2014,756,1446
2015,810,1485
2016,830,1468
2017,815,1491
2018,786,1456
2019,807,1466
2020,809,1470
2010,857,1402
2011,851,1397
2012,867,1403
2013,904,1419
2014,925,1479
2015,933,1487
2016,945,1470
2017,942,1450
2018,979,1481
2019,1003,1488
2020,1007,1494
2010,983,1231
2011,996,1225
2012,1007,1259
2013,992,1227
2014,992,1246
2015,1027,1222
2016,1033,1248
2017,1041,1210
2018,1072,1239
2019,1073,1241
2020,1072,1247
2010,1213,1455
2011,1209,1443
2012,1179,1407
2013,1203,1399
2014,1193,1432
2015,1183,1409
2016,1220,1402
2017,1257,1432
2018,1275,1438
2019,1253,1431
2020,1224,1441
2010,740,1358
2011,738,1340
2012,717,1340
2013,717,1310
2014,728,1330
2015,744,1303
2016,726,1302
2017,733,1315
2018,751,1322
2019,764,1347
2020,744,1343
2010,714,1170
2011,712,1211
2012,709,1228
2013,729,1246
2014,718,1243
2015,750,1235
2016,757,1254
2017,756,1258
2018,731,1251
2019,747,1292
2020,743,1288
2010,755,1248
2011,737,1247
2012,734,1246
2013,714,1285
2014,760,1278
2015,763,1284
2016,800,1310
2017,812,1289
2018,831,1269
2019,821,1292
2020,801,1291
2010,896,1283
2011,879,1270
2012,885,1279
2013,904,1270
2014,911,1272
2015,928,1284
2016,925,1298
2017,940,1292
2018,958,1330
2019,968,1366
2020,961,1370
2010,1064,1237
2011,1043,1276
2012,1046,1290
2013,1065,1311
2014,1052,1337
2015,1055,1307
2016,1078,1316
2017,1085,1316
2018,1099,1299
2019,1123,1290
2020,1099,1297
2010,786,1415
2011,800,1429
2012,791,1409
2013,841,1393
2014,804,1398
2015,861,1405
2016,864,1387
2017,898,1418
2018,868,1387
2019,874,1387
2020,816,1380
2010,741,1409
2011,751,1431
2012,752,1436
2013,754,1404
2014,776,1435
2015,780,1393
2016,807,1426
2017,817,1421
2018,832,1445
2019,844,1507
2020,826,1516
2010,678,1666
2011,682,1660
2012,690,1678
2013,710,1741
2014,772,1780
2015,827,1832
2016,846,1892
2017,878,1948
2018,903,2070
2019,904,2096
2020,889,2094
2010,523,997
2011,434,1001
2012,423,992
2013,453,999
2014,476,1012
2015,475,1071
2016,461,1082
2017,458,1083
2018,475,1051
2019,460,1078
2020,466,1078
2010,507,1234
2011,559,1423
2012,552,1410
2013,563,1461
2014,586,1480
2015,574,1525
2016,600,1534
2017,590,1607
